k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,2.4577349662780756,2.9718045496940606,2.969924037456512,2.9712490057945247,2.9727502679824824,2.9744878745079033
3,3.2290067720413207,3.494708127975464,3.4811204218864447,3.4857717680931097,3.490559055805207,3.4950083827972422
5,3.721756913661957,3.953582961559296,3.921137402057648,3.929101843833924,3.9368842458724975,3.9448716759681703
7,3.25318918466568,3.8895864915847773,3.8685807275772093,3.880167462825775,3.8912986683845516,3.903157925605774
9,3.69705635547638,3.9009160137176506,3.888600814342498,3.9020404338836663,3.9167301273345942,3.9292112755775443
11,3.5978928852081298,4.0674770760536205,4.041342945098878,4.058779871463776,4.074243276119233,4.0905819058418285
13,3.819997601509094,4.050564641952514,3.9694451451301576,3.9898247003555296,4.008807380199432,4.027616441249847
15,3.5808223128318786,5.213120756149292,5.15246862411499,5.174890325069427,5.194989428520202,5.2166494417190545
17,3.9813208150863644,4.893207390308381,4.8144697356224055,4.842240540981292,4.86654168844223,4.891746928691864
19,4.123625972270966,4.785618977546693,4.757790777683259,4.786286611557008,4.815766277313233,4.84752757549286
