k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,0.5365,0.5587500000000001,0.57575,0.5805,0.5842499999999999,0.5865
2,0.631,0.65275,0.6639999999999999,0.6677500000000001,0.67125,0.6735
3,0.67925,0.6992499999999999,0.7082499999999999,0.71125,0.71325,0.7157500000000001
4,0.7075,0.7257499999999999,0.73425,0.7372500000000001,0.73925,0.7414999999999999
5,0.7310000000000001,0.74775,0.75425,0.75675,0.7582500000000001,0.7602500000000001
6,0.747,0.7632500000000001,0.76925,0.7719999999999999,0.77325,0.775
7,0.757,0.7737499999999999,0.77975,0.782,0.78325,0.784
8,0.76875,0.7845,0.7885,0.7905,0.79125,0.792
9,0.7765000000000001,0.79025,0.79425,0.7965,0.79725,0.798
10,0.78675,0.7987500000000001,0.8030000000000002,0.8049999999999999,0.80575,0.8065
11,0.7947499999999998,0.806,0.8105,0.81225,0.8130000000000001,0.8135
12,0.80175,0.81175,0.8162499999999999,0.81775,0.8184999999999999,0.8192499999999999
13,0.807,0.8162499999999999,0.82075,0.8225,0.8234999999999999,0.8245000000000001
14,0.8099999999999999,0.8195,0.8240000000000001,0.82575,0.82675,0.82775
15,0.81375,0.82325,0.82775,0.8295,0.8305,0.83125
16,0.817,0.826,0.8305,0.8322499999999999,0.8332499999999999,0.834
17,0.82175,0.8299999999999998,0.8342500000000002,0.83575,0.83675,0.8375
18,0.8245000000000001,0.8322500000000002,0.83625,0.83775,0.8387499999999999,0.8394999999999999
19,0.82675,0.835,0.8385,0.8402499999999999,0.841,0.8415000000000001
20,0.82875,0.8365,0.8399999999999999,0.8417499999999999,0.8422499999999999,0.843
