k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,3.218167855739593,2.978315348625183,2.985387558937073,2.994345688819885,3.003404231071472,3.0125283718109133
3,3.622185027599335,3.6453941202163698,3.6669312524795528,3.6943998908996583,3.720746159553528,3.7486899518966674
5,3.9843070578575137,4.024400362968445,4.06066466808319,4.106274342536926,4.150949413776397,4.200936074256896
7,3.755724828243255,3.947826406955719,3.9874219465255742,4.0394777488708495,4.090321826934814,4.147451679706574
9,3.6762466597557064,3.941173384189606,3.9834539270401,4.036827125549317,4.091784894466401,4.143447098731995
11,3.8096606016159056,4.069404499530792,4.121532766819,4.1885582613945,4.252619128227233,4.318405644893646
13,4.310627770423889,4.214143738746643,4.274635651111604,4.352049403190613,4.427044599056244,4.5032279229164125
15,4.419691939353943,4.555022473335265,4.624456784725188,4.713658072948456,4.799406466484069,4.886948554515838
17,4.768575267791748,4.9063896298408505,4.985704843997956,5.087046918869019,5.185527548789978,5.285642075538635
19,5.162305338382721,6.4318078541755686,6.5210624289512635,6.631853191852571,6.743015275001527,6.854853022098543
