k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,0.6404852160727824,0.6574677786201668,0.6720242608036391,0.6782410917361638,0.6815769522365429,0.6849128127369218
2,0.7663381349507202,0.7845337376800606,0.8012130401819559,0.8081880212282032,0.8113722517058377,0.815617892342684
3,0.8178923426838514,0.8348749052312359,0.849734647460197,0.8573161485974223,0.8600454890068233,0.8635329795299469
4,0.8432145564821834,0.8600454890068233,0.8749052312357847,0.8809704321455648,0.8844579226686884,0.887642153146323
5,0.8595905989385898,0.8753601213040181,0.8912812736921911,0.8968915845337376,0.9005307050796058,0.9041698256254739
6,0.8738438210765732,0.8893100833965125,0.905079605761941,0.909931766489765,0.9131159969673996,0.9158453373768006
7,0.8835481425322215,0.8993176648976497,0.914783927217589,0.9197877179681576,0.9223654283548143,0.9253980288097043
8,0.8944655041698256,0.9100833965125095,0.9241849886277483,0.9281273692191053,0.930705079605762,0.933131159969674
9,0.9009855951478393,0.9155420773313117,0.9293404094010616,0.933131159969674,0.9358605003790752,0.9384382107657316
10,0.9059893858984079,0.9206974981046248,0.9340409401061411,0.9378316906747536,0.9402577710386657,0.9429871114480669
11,0.9115996967399544,0.9263078089461713,0.939196360879454,0.9428354814253221,0.9449583017437453,0.9472327520849129
12,0.9156937073540561,0.9294920394238059,0.9423805913570886,0.9458680818802122,0.9473843821076573,0.9496588324488249
13,0.9185746777862018,0.931918119787718,0.9451099317664898,0.9487490523123577,0.9504169825625475,0.9529946929492039
14,0.9223654283548143,0.9349507202426081,0.9479909021986354,0.952084912812737,0.9536012130401819,0.9561789234268385
15,0.9260045489006824,0.9388931008339652,0.9505686125852918,0.9542077331311599,0.9558756633813494,0.9584533737680061
16,0.9287338893100833,0.9408642911296436,0.9523881728582259,0.955724033358605,0.95724033358605,0.9596664139499621
17,0.9316148597422289,0.9432903714935558,0.9549658832448825,0.9576952236542835,0.9592115238817286,0.9614859742228962
18,0.9343442001516301,0.9460197119029568,0.95724033358605,0.9598180439727066,0.9614859742228962,0.9634571645185745
19,0.9367702805155421,0.9479909021986355,0.9593631539044731,0.9619408642911298,0.9634571645185748,0.9651250947687642
20,0.9385898407884762,0.9495072024260803,0.9610310841546627,0.9634571645185748,0.9651250947687642,0.9669446550416984
